file,id,model,task,prompt_type,elapsed,parsed_ok,pred_num,ground_truth_raw,correct,model_output,auto_label
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_000,gpt-3.5-turbo,bipartite_matching,cot,32.42034721374512,False,,"{""match_size"": 4, ""pairs"": [[""1868"", ""1547""], [""651"", ""526""], [""1671"", ""637""], [""1136"", ""1511""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_001,gpt-3.5-turbo,bipartite_matching,cot,32.48272347450256,False,,"{""match_size"": 1, ""pairs"": [[""3904"", ""3861""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_002,gpt-3.5-turbo,bipartite_matching,cot,32.40210509300232,False,,"{""match_size"": 6, ""pairs"": [[""2827"", ""3163""], [""990"", ""3328""], [""2699"", ""2670""], [""2742"", ""3101""], [""2754"", ""3324""], [""2683"", ""2977""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_003,gpt-3.5-turbo,bipartite_matching,cot,31.69344997406006,False,,"{""match_size"": 8, ""pairs"": [[""3982"", ""4026""], [""3994"", ""4019""], [""4003"", ""4009""], [""4027"", ""4032""], [""4018"", ""3981""], [""3983"", ""4017""], [""4029"", ""3980""], [""4004"", ""3985""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_004,gpt-3.5-turbo,bipartite_matching,cot,32.32394862174988,False,,"{""match_size"": 6, ""pairs"": [[""3228"", ""3137""], [""3172"", ""2894""], [""2964"", ""3062""], [""2933"", ""2997""], [""3117"", ""3274""], [""3321"", ""3391""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_005,gpt-3.5-turbo,bipartite_matching,cot,33.1571831703186,False,,"{""match_size"": 3, ""pairs"": [[""1844"", ""1294""], [""1148"", ""596""], [""1620"", ""1823""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_006,gpt-3.5-turbo,bipartite_matching,cot,33.11458969116211,False,,"{""match_size"": 6, ""pairs"": [[""119"", ""1""], [""329"", ""322""], [""148"", ""109""], [""199"", ""161""], [""213"", ""303""], [""3"", ""85""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_007,gpt-3.5-turbo,bipartite_matching,cot,31.760567665100098,False,,"{""match_size"": 9, ""pairs"": [[""853"", ""847""], [""787"", ""809""], [""712"", ""707""], [""697"", ""698""], [""842"", ""760""], [""815"", ""792""], [""797"", ""820""], [""694"", ""774""], [""839"", ""702""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_008,gpt-3.5-turbo,bipartite_matching,cot,31.9428813457489,False,,"{""match_size"": 9, ""pairs"": [[""1381"", ""1475""], [""1210"", ""962""], [""1377"", ""1551""], [""1094"", ""1543""], [""1097"", ""992""], [""1449"", ""1836""], [""1882"", ""1645""], [""1880"", ""938""], [""1567"", ""1803""]], ""status"": ""ok""}",False,,format_error
results/answers\gpt-3.5-turbo\bipartite_matching\cot.jsonl,FB_BM_009,gpt-3.5-turbo,bipartite_matching,cot,32.33010935783386,False,,"{""match_size"": 2, ""pairs"": [[""1828"", ""1215""], [""1566"", ""1743""]], ""status"": ""ok""}",False,,format_error
