file,id,model,task,prompt_type,elapsed,model_output,ground_truth_raw,parsed_ok,pred_num,correct,auto_label
results/answers\phi3-medium\bipartite_matching\cot.jsonl,FB_BM_016,phi3-medium,bipartite_matching,cot,372.2243258953095,,"{""match_size"": 2, ""pairs"": [[""3151"", ""3150""], [""2951"", ""2844""]], ""status"": ""ok""}",False,,False,format_error
results/answers\phi3-medium\shortest_path\cot.jsonl,FB_SP_037,phi3-medium,shortest_path,cot,372.2169759273529,,"{""distance"": 3, ""path"": [""3339"", ""2782"", ""3364"", ""2929""], ""status"": ""ok""}",False,,False,format_error
results/answers\phi3-medium\bipartite_matching\cot.jsonl,FB_BM_014,phi3-medium,bipartite_matching,cot,372.2022395133972,,"{""match_size"": 7, ""pairs"": [[""1790"", ""1349""], [""1736"", ""1156""], [""1039"", ""1160""], [""1126"", ""1535""], [""1712"", ""1288""], [""1141"", ""924""], [""1795"", ""1312""]], ""status"": ""ok""}",False,,False,format_error
results/answers\phi3-medium\connectivity\cot.jsonl,FB_CONN_019,phi3-medium,connectivity,cot,372.1838338375092,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\phi3-medium\bipartite_matching\cot.jsonl,FB_BM_046,phi3-medium,bipartite_matching,cot,372.1782350540161,,"{""match_size"": 7, ""pairs"": [[""491"", ""475""], [""563"", ""405""], [""469"", ""370""], [""461"", ""400""], [""473"", ""556""], [""1616"", ""1692""], [""363"", ""524""]], ""status"": ""ok""}",False,,False,format_error
results/answers\phi3-medium\connectivity\cot.jsonl,FB_CONN_000,phi3-medium,connectivity,cot,372.1771893501282,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\phi3-medium\bipartite_matching\cot.jsonl,FB_BM_049,phi3-medium,bipartite_matching,cot,372.1706504821777,,"{""match_size"": 11, ""pairs"": [[""2945"", ""2944""], [""3206"", ""2793""], [""3207"", ""3177""], [""3173"", ""2735""], [""2897"", ""3399""], [""2943"", ""2786""], [""2799"", ""2861""], [""2955"", ""3067""], [""2675"", ""2999""], [""3421"", ""3406""], [""3082"", ""3260""]], ""status"": ""ok""}",False,,False,format_error
results/answers\phi3-medium\connectivity\cot.jsonl,FB_CONN_035,phi3-medium,connectivity,cot,372.1606152057648,,"{""connected"": true, ""path"": [""4009"", ""3980"", ""4022""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_041,gpt-4o-mini,shortest_path,cot_hidden,169.69785165786743,,"{""distance"": 2, ""path"": [""1152"", ""107"", ""930""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_008,gpt-4o-mini,shortest_path,cot,169.17901730537417,,"{""distance"": 2, ""path"": [""423"", ""431"", ""536""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_048,gpt-4o-mini,shortest_path,zero_shot,168.84595680236816,,"{""distance"": 2, ""path"": [""3497"", ""3437"", ""3877""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_040,gpt-4o-mini,shortest_path,cot,168.7363419532776,,"{""distance"": 1, ""path"": [""2385"", ""2572""], ""status"": ""ok""}",False,,False,format_error
